 ,Samuel,Anton,Herman,David
1,Hamilton,Hamilton,Hamilton,Hamilton
2,Verstappen,Verstappen,Verstappen,Verstappen
3,Bottas,Leclerc,Bottas,Bottas
4,Leclerc,Bottas,Perez,Perez
5,Perez,Norris,Ricciardo,Leclerc
6,Ricciardo,Perez,Norris,Sainz
7,Sainz,Stroll,Leclerc,Ricciardo
8,Gasly,Sainz,SAinz,Norris
9,Stroll,Ricciardo,Stroll,Alonso
10,Norris,Gasly,Vettel,GAsly
11,Ocon,Vettel,Ocon,Tsunoda
12,Vettel,Ocon,GAsly,Stroll
13,Alonso,Alonso,Alonso,Vettel
14,Räikkönen,Russell,Tsunoda,Räikönnen
15,Tsunoda,Räikkönen,Russell,Ocon
16,Giovinazzi,Schumacher,Giovinazzi,Giovinazzi
17,Russell,Giovinazzi,Räikkönen,Russell
18,Shumacher,Tsunoda,Latifi,Shchumacher
19,Mazepin,Latifi,Shumacher,Mazepin
20,Latifi,Mazepin,Mazepin,Latifi
,,,,
POÄNG,35,39,25,31
