 ,Samuel,Anton,Herman,David,Petter,Swold,Hannes
1,Verstappen,Verstappen,Verstappen,Hamilton,VErsteppen,Verstappen,Verstappen
2,Leclerc,Leclerc,Russel,VErstappen,Hamilton,Leclerc,Hamilton
3,Russell,Hamilton,Leclerc,Russell,Leclerc,HAmilton,Leclerc
4,Perez,Russell,Hamilton,Leclerc,Russell,Russell,Russell
5,Sainz,Sainz,Sainz,SAinz,Perez,Perez,Perez
6,Hamilton,Perez,Norris,Perez,SAinz,SAinz,Sainz
7,Norris,Norris,Perez,Norris,Norris,Norris,Ocon
8,Ocon,Gasly,Ocon,Ocon,Ocon,GAsly,Norris
9,Gasly,Alonso,Piastri,Piastri,Piastri,Ocon,Alonso
10,Alonso,Ocon,Alonso,GAsly,GAsly,Alonso,GAsly
11,Bottas,Piastri,GAsly,Bottas,Alonso,Piastri,De Vries
12,De Vries,Magnussen,Bottas,De Vries,Bottas,Stroll,Magnussen
13,Stroll,Bottas,Stroll,Alonso,Magnussen,Albon,Bottas
14,Piastri,Stroll,De Vries,Tsunoda,Stroll,MAgnussen,Piastri
15,Magnussen,Hlkenberg,Magnussen,Magnussen,De Vries,Bottas,Stroll
16,Guanyu,Albon,Guanyu,Guanyu,TSunoda,Hulkenberg,Guanyu
17,Tsunoda,Tsunoda,Tsunoda,Albon,Guanyu,Sargeant,Tsunoda
18,Hulkenberg,De Vries,Hulkenberg,Stroll,Albon,Tsunoda,Sargeant
19,Albon,Guanyu,Albon,Hulkenberg,Hulkenberg,Guanyu,Hulkenberg
20,Sargeant,Sargeant,Sargeant,Sargeant,Sargeant,De Vries,Albon
,,,,,,,
POÄNG,68,52,58,66,56,44,72
