,Samuel,Anton,Herman,David,Petter,Swold,Hannes,Bet365
1,Verstappen,Piastri,Leclerc,Russell,Russell,Verstappen,Piastri,Russell
2,Norris,Verstappen,Russell,Piastri,Verstappen,Russell,Verstappen,Verstappen
3,Piastri,Norris,Verstappen,Norris,Norris,Leclerc,Russell,Leclerc
4,Leclerc,Leclerc,Piastri,Verstappen,Piastri,Hamilton,Norris,Hamilton
5,Russell,Russell,Norris,Leclerc,Antonelli,Norris,Leclerc,Antonelli
6,Antonelli,Antonelli,Antonelli,Antonelli,Leclerc,Antonelli,Antonelli,Norris
7,Hamilton,Sainz,Hamilton,Hamilton,Hamilton,Piastri,Sainz,Piastri
8,Hadjar,Stroll,Hadjar,Sainz,Alonso,Hadjar,Hamilton,Alonso
9,Sainz,Hadjar,Albon,Albon,Hadjar,Sainz,Hadjar,Sainz
10,Hulkenberg,Hamiton,Perez,Hadjar,Sainz,Albon,Albon,Hadjar
11,Albon,Alonso,Sainz,Alonso,Albon,Alonso,Hulkenberg,Gasly
12,Lawson,Gasly,Lindblad,Bortoleto,Stroll,Gasly,Bottas,Albon
13,Ocon,Albon,Lawson,Lawson,Bearman,Bortoleto,Alonso,Stroll
14,Alonso,Bottas,Bottas,Bearman,Ocon,Hulkenberg,Bearman,Lindblad
15,Bortoleto,Bearman,Alonso,Stroll,Gasly,Lawson,Perez,Ocon
16,Gasly,Lawson,Bortoleto,Hulkenberg,Lindblad,Lindblad,Ocon,Lawson
17,Bearman,Perez,Gasly,Lindblad,Perez,Stroll,Gasly,Bearman
18,Bottas,Lindblad,Hulkenberg,Ocon,Lawson,Bottas,Stroll,Colapinto
19,Perez,Hulkenberg,Ocon,Bottas,Bottas,Bearman,Lawson,Bortoleto
20,Lindblad,Ocon,Stroll,Gasly,Hulkenberg,Perez,Bortoleto,Hulkenberg
21,Stroll,Bortoleto,Colapinto,Perez,Colapinto,Ocon,Lindblad,Perez
22,Colapinto,Colapinto,Bearman,Colapinto,Bortoleto,Colapinto,Colapinto,Bottas
